OrderID,OrderDate,RequiredDate,ShippedDate,ShipName,ShipCountry,ShipRegion,ShipAddress,ShipPostalCode,ShipCity
10271,1996-08-01 00:00:00,1996-08-29 00:00:00,1996-08-30 00:00:00,Split Rail Beer & Ale,USA,WY,P.O. Box 555,82520,Lander
10272,1996-08-02 00:00:00,1996-08-30 00:00:00,1996-08-06 00:00:00,Rattlesnake Canyon Grocery,USA,NM,2817 Milton Dr.,87110,Albuquerque
10273,1996-08-05 00:00:00,1996-09-02 00:00:00,1996-08-12 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10274,1996-08-06 00:00:00,1996-09-03 00:00:00,1996-08-16 00:00:00,Vins et alcools Chevalier,France,,59 rue de l'Abbaye,51100,Reims
10275,1996-08-07 00:00:00,1996-09-04 00:00:00,1996-08-09 00:00:00,Magazzini Alimentari Riuniti,Italy,,Via Ludovico il Moro 22,24100,Bergamo
10276,1996-08-08 00:00:00,1996-08-22 00:00:00,1996-08-14 00:00:00,Tortuga Restaurante,Mexico,,Avda. Azteca 123,05033,México D.F.
10277,1996-08-09 00:00:00,1996-09-06 00:00:00,1996-08-13 00:00:00,Morgenstern Gesundkost,Germany,,Heerstr. 22,04179,Leipzig
10278,1996-08-12 00:00:00,1996-09-09 00:00:00,1996-08-16 00:00:00,Berglunds snabbköp,Sweden,,Berguvsvägen  8,S-958 22,Luleå
10279,1996-08-13 00:00:00,1996-09-10 00:00:00,1996-08-16 00:00:00,Lehmanns Marktstand,Germany,,Magazinweg 7,60528,Frankfurt a.M.
10280,1996-08-14 00:00:00,1996-09-11 00:00:00,1996-09-12 00:00:00,Berglunds snabbköp,Sweden,,Berguvsvägen  8,S-958 22,Luleå
10281,1996-08-14 00:00:00,1996-08-28 00:00:00,1996-08-21 00:00:00,Romero y tomillo,Spain,,"Gran Vía, 1",28001,Madrid
10282,1996-08-15 00:00:00,1996-09-12 00:00:00,1996-08-21 00:00:00,Romero y tomillo,Spain,,"Gran Vía, 1",28001,Madrid
10283,1996-08-16 00:00:00,1996-09-13 00:00:00,1996-08-23 00:00:00,LILA-Supermercado,Venezuela,Lara,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,3508,Barquisimeto
10284,1996-08-19 00:00:00,1996-09-16 00:00:00,1996-08-27 00:00:00,Lehmanns Marktstand,Germany,,Magazinweg 7,60528,Frankfurt a.M.
10285,1996-08-20 00:00:00,1996-09-17 00:00:00,1996-08-26 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10286,1996-08-21 00:00:00,1996-09-18 00:00:00,1996-08-30 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10287,1996-08-22 00:00:00,1996-09-19 00:00:00,1996-08-28 00:00:00,Ricardo Adocicados,Brazil,RJ,"Av. Copacabana, 267",02389-890,Rio de Janeiro
10288,1996-08-23 00:00:00,1996-09-20 00:00:00,1996-09-03 00:00:00,Reggiani Caseifici,Italy,,Strada Provinciale 124,42100,Reggio Emilia
10289,1996-08-26 00:00:00,1996-09-23 00:00:00,1996-08-28 00:00:00,B's Beverages,UK,,Fauntleroy Circus,EC2 5NT,London
10290,1996-08-27 00:00:00,1996-09-24 00:00:00,1996-09-03 00:00:00,Comércio Mineiro,Brazil,SP,"Av. dos Lusíadas, 23",05432-043,Sao Paulo
10291,1996-08-27 00:00:00,1996-09-24 00:00:00,1996-09-04 00:00:00,Que Delícia,Brazil,RJ,"Rua da Panificadora, 12",02389-673,Rio de Janeiro
10292,1996-08-28 00:00:00,1996-09-25 00:00:00,1996-09-02 00:00:00,Tradiçao Hipermercados,Brazil,SP,"Av. Inês de Castro, 414",05634-030,Sao Paulo
10293,1996-08-29 00:00:00,1996-09-26 00:00:00,1996-09-11 00:00:00,Tortuga Restaurante,Mexico,,Avda. Azteca 123,05033,México D.F.
10294,1996-08-30 00:00:00,1996-09-27 00:00:00,1996-09-05 00:00:00,Rattlesnake Canyon Grocery,USA,NM,2817 Milton Dr.,87110,Albuquerque
10295,1996-09-02 00:00:00,1996-09-30 00:00:00,1996-09-10 00:00:00,Vins et alcools Chevalier,France,,59 rue de l'Abbaye,51100,Reims
10296,1996-09-03 00:00:00,1996-10-01 00:00:00,1996-09-11 00:00:00,LILA-Supermercado,Venezuela,Lara,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,3508,Barquisimeto
10297,1996-09-04 00:00:00,1996-10-16 00:00:00,1996-09-10 00:00:00,Blondel père et fils,France,,"24, place Kléber",67000,Strasbourg
10298,1996-09-05 00:00:00,1996-10-03 00:00:00,1996-09-11 00:00:00,Hungry Owl All-Night Grocers,Ireland,Co. Cork,8 Johnstown Road,,Cork
10299,1996-09-06 00:00:00,1996-10-04 00:00:00,1996-09-13 00:00:00,Ricardo Adocicados,Brazil,RJ,"Av. Copacabana, 267",02389-890,Rio de Janeiro
10300,1996-09-09 00:00:00,1996-10-07 00:00:00,1996-09-18 00:00:00,Magazzini Alimentari Riuniti,Italy,,Via Ludovico il Moro 22,24100,Bergamo
10301,1996-09-09 00:00:00,1996-10-07 00:00:00,1996-09-17 00:00:00,Die Wandernde Kuh,Germany,,Adenauerallee 900,70563,Stuttgart
10302,1996-09-10 00:00:00,1996-10-08 00:00:00,1996-10-09 00:00:00,Suprêmes délices,Belgium,,"Boulevard Tirou, 255",B-6000,Charleroi
10303,1996-09-11 00:00:00,1996-10-09 00:00:00,1996-09-18 00:00:00,Godos Cocina Típica,Spain,,"C/ Romero, 33",41101,Sevilla
10304,1996-09-12 00:00:00,1996-10-10 00:00:00,1996-09-17 00:00:00,Tortuga Restaurante,Mexico,,Avda. Azteca 123,05033,México D.F.
10305,1996-09-13 00:00:00,1996-10-11 00:00:00,1996-10-09 00:00:00,Old World Delicatessen,USA,AK,2743 Bering St.,99508,Anchorage
10306,1996-09-16 00:00:00,1996-10-14 00:00:00,1996-09-23 00:00:00,Romero y tomillo,Spain,,"Gran Vía, 1",28001,Madrid
10307,1996-09-17 00:00:00,1996-10-15 00:00:00,1996-09-25 00:00:00,Lonesome Pine Restaurant,USA,OR,89 Chiaroscuro Rd.,97219,Portland
10308,1996-09-18 00:00:00,1996-10-16 00:00:00,1996-09-24 00:00:00,Ana Trujillo Emparedados y helados,Mexico,,Avda. de la Constitución 2222,05021,México D.F.
10309,1996-09-19 00:00:00,1996-10-17 00:00:00,1996-10-23 00:00:00,Hungry Owl All-Night Grocers,Ireland,Co. Cork,8 Johnstown Road,,Cork
10310,1996-09-20 00:00:00,1996-10-18 00:00:00,1996-09-27 00:00:00,The Big Cheese,USA,OR,89 Jefferson Way Suite 2,97201,Portland
10311,1996-09-20 00:00:00,1996-10-04 00:00:00,1996-09-26 00:00:00,Du monde entier,France,,"67, rue des Cinquante Otages",44000,Nantes
10312,1996-09-23 00:00:00,1996-10-21 00:00:00,1996-10-03 00:00:00,Die Wandernde Kuh,Germany,,Adenauerallee 900,70563,Stuttgart
10313,1996-09-24 00:00:00,1996-10-22 00:00:00,1996-10-04 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10314,1996-09-25 00:00:00,1996-10-23 00:00:00,1996-10-04 00:00:00,Rattlesnake Canyon Grocery,USA,NM,2817 Milton Dr.,87110,Albuquerque
10315,1996-09-26 00:00:00,1996-10-24 00:00:00,1996-10-03 00:00:00,Island Trading,UK,Isle of Wight,Garden House Crowther Way,PO31 7PJ,Cowes
10316,1996-09-27 00:00:00,1996-10-25 00:00:00,1996-10-08 00:00:00,Rattlesnake Canyon Grocery,USA,NM,2817 Milton Dr.,87110,Albuquerque
10317,1996-09-30 00:00:00,1996-10-28 00:00:00,1996-10-10 00:00:00,Lonesome Pine Restaurant,USA,OR,89 Chiaroscuro Rd.,97219,Portland
10318,1996-10-01 00:00:00,1996-10-29 00:00:00,1996-10-04 00:00:00,Island Trading,UK,Isle of Wight,Garden House Crowther Way,PO31 7PJ,Cowes
10319,1996-10-02 00:00:00,1996-10-30 00:00:00,1996-10-11 00:00:00,Tortuga Restaurante,Mexico,,Avda. Azteca 123,05033,México D.F.
10320,1996-10-03 00:00:00,1996-10-17 00:00:00,1996-10-18 00:00:00,Wartian Herkku,Finland,,Torikatu 38,90110,Oulu
10321,1996-10-03 00:00:00,1996-10-31 00:00:00,1996-10-11 00:00:00,Island Trading,UK,Isle of Wight,Garden House Crowther Way,PO31 7PJ,Cowes
10322,1996-10-04 00:00:00,1996-11-01 00:00:00,1996-10-23 00:00:00,Pericles Comidas clásicas,Mexico,,Calle Dr. Jorge Cash 321,05033,México D.F.
10323,1996-10-07 00:00:00,1996-11-04 00:00:00,1996-10-14 00:00:00,Königlich Essen,Germany,,Maubelstr. 90,14776,Brandenburg
10324,1996-10-08 00:00:00,1996-11-05 00:00:00,1996-10-10 00:00:00,Save-a-lot Markets,USA,ID,187 Suffolk Ln.,83720,Boise
10325,1996-10-09 00:00:00,1996-10-23 00:00:00,1996-10-14 00:00:00,Königlich Essen,Germany,,Maubelstr. 90,14776,Brandenburg
10326,1996-10-10 00:00:00,1996-11-07 00:00:00,1996-10-14 00:00:00,Bólido Comidas preparadas,Spain,,"C/ Araquil, 67",28023,Madrid
10327,1996-10-11 00:00:00,1996-11-08 00:00:00,1996-10-14 00:00:00,Folk och fä HB,Sweden,,Åkergatan 24,S-844 67,Bräcke
10328,1996-10-14 00:00:00,1996-11-11 00:00:00,1996-10-17 00:00:00,Furia Bacalhau e Frutos do Mar,Portugal,,Jardim das rosas n. 32,1675,Lisboa
10329,1996-10-15 00:00:00,1996-11-26 00:00:00,1996-10-23 00:00:00,Split Rail Beer & Ale,USA,WY,P.O. Box 555,82520,Lander
10330,1996-10-16 00:00:00,1996-11-13 00:00:00,1996-10-28 00:00:00,LILA-Supermercado,Venezuela,Lara,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,3508,Barquisimeto
10331,1996-10-16 00:00:00,1996-11-27 00:00:00,1996-10-21 00:00:00,Bon app',France,,"12, rue des Bouchers",13008,Marseille
10332,1996-10-17 00:00:00,1996-11-28 00:00:00,1996-10-21 00:00:00,Mère Paillarde,Canada,Québec,43 rue St. Laurent,H1J 1C3,Montréal
10333,1996-10-18 00:00:00,1996-11-15 00:00:00,1996-10-25 00:00:00,Wartian Herkku,Finland,,Torikatu 38,90110,Oulu
10334,1996-10-21 00:00:00,1996-11-18 00:00:00,1996-10-28 00:00:00,Victuailles en stock,France,,"2, rue du Commerce",69004,Lyon
10335,1996-10-22 00:00:00,1996-11-19 00:00:00,1996-10-24 00:00:00,Hungry Owl All-Night Grocers,Ireland,Co. Cork,8 Johnstown Road,,Cork
10336,1996-10-23 00:00:00,1996-11-20 00:00:00,1996-10-25 00:00:00,Princesa Isabel Vinhos,Portugal,,Estrada da saúde n. 58,1756,Lisboa
10337,1996-10-24 00:00:00,1996-11-21 00:00:00,1996-10-29 00:00:00,Frankenversand,Germany,,Berliner Platz 43,80805,München
10338,1996-10-25 00:00:00,1996-11-22 00:00:00,1996-10-29 00:00:00,Old World Delicatessen,USA,AK,2743 Bering St.,99508,Anchorage
10339,1996-10-28 00:00:00,1996-11-25 00:00:00,1996-11-04 00:00:00,Mère Paillarde,Canada,Québec,43 rue St. Laurent,H1J 1C3,Montréal
10340,1996-10-29 00:00:00,1996-11-26 00:00:00,1996-11-08 00:00:00,Bon app',France,,"12, rue des Bouchers",13008,Marseille
10341,1996-10-29 00:00:00,1996-11-26 00:00:00,1996-11-05 00:00:00,Simons bistro,Denmark,,Vinbæltet 34,1734,Kobenhavn
10342,1996-10-30 00:00:00,1996-11-13 00:00:00,1996-11-04 00:00:00,Frankenversand,Germany,,Berliner Platz 43,80805,München
10343,1996-10-31 00:00:00,1996-11-28 00:00:00,1996-11-06 00:00:00,Lehmanns Marktstand,Germany,,Magazinweg 7,60528,Frankfurt a.M.
10344,1996-11-01 00:00:00,1996-11-29 00:00:00,1996-11-05 00:00:00,White Clover Markets,USA,WA,1029 - 12th Ave. S.,98124,Seattle
10345,1996-11-04 00:00:00,1996-12-02 00:00:00,1996-11-11 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10346,1996-11-05 00:00:00,1996-12-17 00:00:00,1996-11-08 00:00:00,Rattlesnake Canyon Grocery,USA,NM,2817 Milton Dr.,87110,Albuquerque
10347,1996-11-06 00:00:00,1996-12-04 00:00:00,1996-11-08 00:00:00,Familia Arquibaldo,Brazil,SP,"Rua Orós, 92",05442-030,Sao Paulo
10348,1996-11-07 00:00:00,1996-12-05 00:00:00,1996-11-15 00:00:00,Die Wandernde Kuh,Germany,,Adenauerallee 900,70563,Stuttgart
10349,1996-11-08 00:00:00,1996-12-06 00:00:00,1996-11-15 00:00:00,Split Rail Beer & Ale,USA,WY,P.O. Box 555,82520,Lander
10350,1996-11-11 00:00:00,1996-12-09 00:00:00,1996-12-03 00:00:00,La maison d'Asie,France,,1 rue Alsace-Lorraine,31000,Toulouse
10351,1996-11-11 00:00:00,1996-12-09 00:00:00,1996-11-20 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10352,1996-11-12 00:00:00,1996-11-26 00:00:00,1996-11-18 00:00:00,Furia Bacalhau e Frutos do Mar,Portugal,,Jardim das rosas n. 32,1675,Lisboa
10353,1996-11-13 00:00:00,1996-12-11 00:00:00,1996-11-25 00:00:00,Piccolo und mehr,Austria,,Geislweg 14,5020,Salzburg
10354,1996-11-14 00:00:00,1996-12-12 00:00:00,1996-11-20 00:00:00,Pericles Comidas clásicas,Mexico,,Calle Dr. Jorge Cash 321,05033,México D.F.
10355,1996-11-15 00:00:00,1996-12-13 00:00:00,1996-11-20 00:00:00,Around the Horn,UK,Essex,Brook Farm Stratford St. Mary,CO7 6JX,Colchester
10356,1996-11-18 00:00:00,1996-12-16 00:00:00,1996-11-27 00:00:00,Die Wandernde Kuh,Germany,,Adenauerallee 900,70563,Stuttgart
10357,1996-11-19 00:00:00,1996-12-17 00:00:00,1996-12-02 00:00:00,LILA-Supermercado,Venezuela,Lara,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,3508,Barquisimeto
10358,1996-11-20 00:00:00,1996-12-18 00:00:00,1996-11-27 00:00:00,La maison d'Asie,France,,1 rue Alsace-Lorraine,31000,Toulouse
10359,1996-11-21 00:00:00,1996-12-19 00:00:00,1996-11-26 00:00:00,Seven Seas Imports,UK,,90 Wadhurst Rd.,OX15 4NB,London
10360,1996-11-22 00:00:00,1996-12-20 00:00:00,1996-12-02 00:00:00,Blondel père et fils,France,,"24, place Kléber",67000,Strasbourg
10361,1996-11-22 00:00:00,1996-12-20 00:00:00,1996-12-03 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10362,1996-11-25 00:00:00,1996-12-23 00:00:00,1996-11-28 00:00:00,Bon app',France,,"12, rue des Bouchers",13008,Marseille
10363,1996-11-26 00:00:00,1996-12-24 00:00:00,1996-12-04 00:00:00,Drachenblut Delikatessen,Germany,,Walserweg 21,52066,Aachen
10364,1996-11-26 00:00:00,1997-01-07 00:00:00,1996-12-04 00:00:00,Eastern Connection,UK,,35 King George,WX3 6FW,London
10365,1996-11-27 00:00:00,1996-12-25 00:00:00,1996-12-02 00:00:00,Antonio Moreno Taquería,Mexico,,Mataderos  2312,05023,México D.F.
10366,1996-11-28 00:00:00,1997-01-09 00:00:00,1996-12-30 00:00:00,Galería del gastronómo,Spain,,"Rambla de Cataluña, 23",8022,Barcelona
10367,1996-11-28 00:00:00,1996-12-26 00:00:00,1996-12-02 00:00:00,Vaffeljernet,Denmark,,Smagsloget 45,8200,Århus
10368,1996-11-29 00:00:00,1996-12-27 00:00:00,1996-12-02 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10369,1996-12-02 00:00:00,1996-12-30 00:00:00,1996-12-09 00:00:00,Split Rail Beer & Ale,USA,WY,P.O. Box 555,82520,Lander
10370,1996-12-03 00:00:00,1996-12-31 00:00:00,1996-12-27 00:00:00,Chop-suey Chinese,Switzerland,,Hauptstr. 31,3012,Bern
10371,1996-12-03 00:00:00,1996-12-31 00:00:00,1996-12-24 00:00:00,La maison d'Asie,France,,1 rue Alsace-Lorraine,31000,Toulouse
10372,1996-12-04 00:00:00,1997-01-01 00:00:00,1996-12-09 00:00:00,Queen Cozinha,Brazil,SP,"Alameda dos Canàrios, 891",05487-020,Sao Paulo
10373,1996-12-05 00:00:00,1997-01-02 00:00:00,1996-12-11 00:00:00,Hungry Owl All-Night Grocers,Ireland,Co. Cork,8 Johnstown Road,,Cork
10374,1996-12-05 00:00:00,1997-01-02 00:00:00,1996-12-09 00:00:00,Wolski Zajazd,Poland,,ul. Filtrowa 68,01-012,Warszawa
10375,1996-12-06 00:00:00,1997-01-03 00:00:00,1996-12-09 00:00:00,Hungry Coyote Import Store,USA,OR,City Center Plaza 516 Main St.,97827,Elgin
10376,1996-12-09 00:00:00,1997-01-06 00:00:00,1996-12-13 00:00:00,Mère Paillarde,Canada,Québec,43 rue St. Laurent,H1J 1C3,Montréal
10377,1996-12-09 00:00:00,1997-01-06 00:00:00,1996-12-13 00:00:00,Seven Seas Imports,UK,,90 Wadhurst Rd.,OX15 4NB,London
10378,1996-12-10 00:00:00,1997-01-07 00:00:00,1996-12-19 00:00:00,Folk och fä HB,Sweden,,Åkergatan 24,S-844 67,Bräcke
10379,1996-12-11 00:00:00,1997-01-08 00:00:00,1996-12-13 00:00:00,Que Delícia,Brazil,RJ,"Rua da Panificadora, 12",02389-673,Rio de Janeiro
10380,1996-12-12 00:00:00,1997-01-09 00:00:00,1997-01-16 00:00:00,Hungry Owl All-Night Grocers,Ireland,Co. Cork,8 Johnstown Road,,Cork
10381,1996-12-12 00:00:00,1997-01-09 00:00:00,1996-12-13 00:00:00,LILA-Supermercado,Venezuela,Lara,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,3508,Barquisimeto
10382,1996-12-13 00:00:00,1997-01-10 00:00:00,1996-12-16 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10383,1996-12-16 00:00:00,1997-01-13 00:00:00,1996-12-18 00:00:00,Around the Horn,UK,Essex,Brook Farm Stratford St. Mary,CO7 6JX,Colchester
10384,1996-12-16 00:00:00,1997-01-13 00:00:00,1996-12-20 00:00:00,Berglunds snabbköp,Sweden,,Berguvsvägen  8,S-958 22,Luleå
10385,1996-12-17 00:00:00,1997-01-14 00:00:00,1996-12-23 00:00:00,Split Rail Beer & Ale,USA,WY,P.O. Box 555,82520,Lander
10386,1996-12-18 00:00:00,1997-01-01 00:00:00,1996-12-25 00:00:00,Familia Arquibaldo,Brazil,SP,"Rua Orós, 92",05442-030,Sao Paulo
10387,1996-12-18 00:00:00,1997-01-15 00:00:00,1996-12-20 00:00:00,Santé Gourmet,Norway,,Erling Skakkes gate 78,4110,Stavern
10388,1996-12-19 00:00:00,1997-01-16 00:00:00,1996-12-20 00:00:00,Seven Seas Imports,UK,,90 Wadhurst Rd.,OX15 4NB,London
10389,1996-12-20 00:00:00,1997-01-17 00:00:00,1996-12-24 00:00:00,Bottom-Dollar Markets,Canada,BC,23 Tsawassen Blvd.,T2F 8M4,Tsawassen
10390,1996-12-23 00:00:00,1997-01-20 00:00:00,1996-12-26 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10391,1996-12-23 00:00:00,1997-01-20 00:00:00,1996-12-31 00:00:00,Drachenblut Delikatessen,Germany,,Walserweg 21,52066,Aachen
10392,1996-12-24 00:00:00,1997-01-21 00:00:00,1997-01-01 00:00:00,Piccolo und mehr,Austria,,Geislweg 14,5020,Salzburg
10393,1996-12-25 00:00:00,1997-01-22 00:00:00,1997-01-03 00:00:00,Save-a-lot Markets,USA,ID,187 Suffolk Ln.,83720,Boise
10394,1996-12-25 00:00:00,1997-01-22 00:00:00,1997-01-03 00:00:00,Hungry Coyote Import Store,USA,OR,City Center Plaza 516 Main St.,97827,Elgin
10395,1996-12-26 00:00:00,1997-01-23 00:00:00,1997-01-03 00:00:00,HILARION-Abastos,Venezuela,Táchira,Carrera 22 con Ave. Carlos Soublette #8-35,5022,San Cristóbal
10396,1996-12-27 00:00:00,1997-01-10 00:00:00,1997-01-06 00:00:00,Frankenversand,Germany,,Berliner Platz 43,80805,München
10397,1996-12-27 00:00:00,1997-01-24 00:00:00,1997-01-02 00:00:00,Princesa Isabel Vinhos,Portugal,,Estrada da saúde n. 58,1756,Lisboa
10398,1996-12-30 00:00:00,1997-01-27 00:00:00,1997-01-09 00:00:00,Save-a-lot Markets,USA,ID,187 Suffolk Ln.,83720,Boise
10399,1996-12-31 00:00:00,1997-01-14 00:00:00,1997-01-08 00:00:00,Vaffeljernet,Denmark,,Smagsloget 45,8200,Århus
10400,1997-01-01 00:00:00,1997-01-29 00:00:00,1997-01-16 00:00:00,Eastern Connection,UK,,35 King George,WX3 6FW,London
10401,1997-01-01 00:00:00,1997-01-29 00:00:00,1997-01-10 00:00:00,Rattlesnake Canyon Grocery,USA,NM,2817 Milton Dr.,87110,Albuquerque
10402,1997-01-02 00:00:00,1997-02-13 00:00:00,1997-01-10 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10403,1997-01-03 00:00:00,1997-01-31 00:00:00,1997-01-09 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10404,1997-01-03 00:00:00,1997-01-31 00:00:00,1997-01-08 00:00:00,Magazzini Alimentari Riuniti,Italy,,Via Ludovico il Moro 22,24100,Bergamo
10405,1997-01-06 00:00:00,1997-02-03 00:00:00,1997-01-22 00:00:00,LINO-Delicateses,Venezuela,Nueva Esparta,Ave. 5 de Mayo Porlamar,4980,I. de Margarita
10406,1997-01-07 00:00:00,1997-02-18 00:00:00,1997-01-13 00:00:00,Queen Cozinha,Brazil,SP,"Alameda dos Canàrios, 891",05487-020,Sao Paulo
10407,1997-01-07 00:00:00,1997-02-04 00:00:00,1997-01-30 00:00:00,Ottilies Käseladen,Germany,,Mehrheimerstr. 369,50739,Köln
10408,1997-01-08 00:00:00,1997-02-05 00:00:00,1997-01-14 00:00:00,Folies gourmandes,France,,"184, chaussée de Tournai",59000,Lille
10409,1997-01-09 00:00:00,1997-02-06 00:00:00,1997-01-14 00:00:00,Océano Atlántico Ltda.,Argentina,,Ing. Gustavo Moncada 8585 Piso 20-A,1010,Buenos Aires
10410,1997-01-10 00:00:00,1997-02-07 00:00:00,1997-01-15 00:00:00,Bottom-Dollar Markets,Canada,BC,23 Tsawassen Blvd.,T2F 8M4,Tsawassen
10411,1997-01-10 00:00:00,1997-02-07 00:00:00,1997-01-21 00:00:00,Bottom-Dollar Markets,Canada,BC,23 Tsawassen Blvd.,T2F 8M4,Tsawassen
10412,1997-01-13 00:00:00,1997-02-10 00:00:00,1997-01-15 00:00:00,Wartian Herkku,Finland,,Torikatu 38,90110,Oulu
10413,1997-01-14 00:00:00,1997-02-11 00:00:00,1997-01-16 00:00:00,La maison d'Asie,France,,1 rue Alsace-Lorraine,31000,Toulouse
10414,1997-01-14 00:00:00,1997-02-11 00:00:00,1997-01-17 00:00:00,Familia Arquibaldo,Brazil,SP,"Rua Orós, 92",05442-030,Sao Paulo
10415,1997-01-15 00:00:00,1997-02-12 00:00:00,1997-01-24 00:00:00,Hungry Coyote Import Store,USA,OR,City Center Plaza 516 Main St.,97827,Elgin
10416,1997-01-16 00:00:00,1997-02-13 00:00:00,1997-01-27 00:00:00,Wartian Herkku,Finland,,Torikatu 38,90110,Oulu
10417,1997-01-16 00:00:00,1997-02-13 00:00:00,1997-01-28 00:00:00,Simons bistro,Denmark,,Vinbæltet 34,1734,Kobenhavn
10418,1997-01-17 00:00:00,1997-02-14 00:00:00,1997-01-24 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10419,1997-01-20 00:00:00,1997-02-17 00:00:00,1997-01-30 00:00:00,Richter Supermarkt,Switzerland,,Starenweg 5,1204,Genève
